"ID","revision","have-sdat","have-odc","have-l-thumb","have-s-thumb","extra data"
"0F145507-59404A35-B7C3BBF0-2D5B6004","34","1","1","1","1",""
"6BCA8B93-291C44DB-BE25C2D6-DE03FF65","31","1","1","1","1",""
"57872869-52844D61-8E5A728C-BAA12627","34","1","1","1","1",""
"ABB74397-D7CC471F-9E07D99B-6A98370C","32","1","1","1","1",""
"92C2AA49-1BD54E21-85797A98-E2C7F18A","32","1","1","1","1",""
"8547A11A-D387463B-B1B25265-3006F09C","33","1","1","1","1",""
"40857491-EE064706-AB45BEED-FF81AC52","32","1","1","1","1",""
"F131D324-52F443E9-B29CB419-8BF1A3D4","32","1","1","1","1",""
"BAB386DD-05DE4507-895D8575-34FAFF48","33","1","1","1","1",""
"6059A644-53D1467C-B4715E97-3E02AE9C","34","1","1","1","1",""
"01FAFC12-E7DE4AE1-9EBACE19-84EA48A2","33","1","1","1","1",""
"F93533D8-F9364600-B19762AF-1B362CD2","35","1","1","1","1",""
"44F17917-25E248FD-96A92060-DDE45AE8","35","1","1","1","1",""
"24F5461A-E7E14954-8DD17411-D3A3BC24","35","1","1","1","1",""
"B40CCDD4-9FFC4386-B6958837-556EDB31","33","1","1","1","1",""
"C272D977-E8E14E6E-85FE015E-15522D76","34","1","1","1","1",""
"C9DEE493-2A7841DD-AF4D3651-B47CE40A","33","1","1","1","1",""
"76CD8116-7D9842F7-A95ED406-23A3386B","34","1","1","1","1",""
"FA776CEB-71DB4F38-9A5B6BB0-30B440F4","33","1","1","1","1",""
"96BD3A6B-95A94020-A11E4779-C9135732","36","1","1","1","1",""
"42D2B6D6-3DAE4E88-997C86EB-797671D2","34","1","1","0","1",""
"9FCE7142-4F914227-8551E923-19C20570","34","1","1","0","1",""
"6F0DAACA-033C4DBB-864CFC93-5D8CB134","34","1","1","0","1",""
"CF69F66B-F061497C-9917321E-1BD5BBF2","35","1","1","0","1",""
"3EDCBBB3-206548A1-BE74F64D-6CEE755D","36","1","1","0","1",""
"D7621FED-06E749C1-93E703FB-DD10E34C","31","1","1","0","1",""
"FD5C8659-EE4A4ADF-954B228B-A33B90FB","32","1","1","0","1",""
"75843DF6-2BD14A39-8E8B15C0-5EC7F920","32","1","1","0","1",""
"7EE66634-ECDF4DB7-A5CD927C-5C772594","33","1","1","1","1",""
"74050E81-B7F34942-98BAA9C0-31C2FFAB","34","1","1","1","1",""
"80BA30AD-80CB415B-8E6A7365-E715D64A","34","1","1","1","1",""
"BD6561D1-E2E5407B-89766023-A98E352A","31","1","1","0","1",""
"122373CC-DE6447EE-99C5478C-6D4E3901","32","1","1","0","1",""
